Unnamed: 0,No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Test,Electronegativity,dataset
1666,ID_1814,SiO2,29.5,-35.9,Caco-2,Yes,4.383425429517946e-07,100.54,Uncoated,human,colon,Vialight,2.93,Small
1667,ID_1815,SiO2,14.0,-35.9,RAW 264.7,Yes,1.572291658760412e-06,40.7,Uncoated,mouse,blood,LDH,2.93,Small
1668,ID_1816,SiO2,14.0,-35.9,RAW 264.7,Yes,3.144583317520823e-06,41.85,Uncoated,mouse,blood,LDH,2.93,Small
1669,ID_1817,SiO2,96.0,-11.0,Caco-2,Yes,3.250964740998874e-09,100.0,Uncoated,human,colon,Live/Dead,2.93,Small
1670,ID_1819,SiO2,15.0,-35.9,A549,Yes,0.1,58.05,Uncoated,human,lung,MTT,2.93,Small
1671,ID_1820,SiO2,15.0,-35.9,A549,Yes,0.05,74.02,Uncoated,human,lung,MTT,2.93,Small
1672,ID_1821,SiO2,15.0,-35.9,A549,Yes,0.025,87.07,Uncoated,human,lung,MTT,2.93,Small
1673,ID_1822,SiO2,15.0,-35.9,A431,Yes,0.2,48.92,Uncoated,human,skin,MTT,2.93,Small
1674,ID_1823,SiO2,15.0,-35.9,A431,Yes,0.05,76.93,Uncoated,human,skin,MTT,2.93,Small
1675,ID_1824,SiO2,15.0,-35.9,A431,Yes,0.025,88.97,Uncoated,human,skin,MTT,2.93,Small
1676,ID_1826,SiO2,15.0,-35.9,A431,Yes,0.1,59.95,Uncoated,human,skin,MTT,2.93,Small
1677,ID_1827,SiO2,375.4,-26.8,PC12,Yes,3.397998406730956e-10,102.46,Phosphonate,rat,adrenal gland,MTT,2.93,Small
1678,ID_1828,SiO2,96.0,-11.0,Caco-2,Yes,3.250964740998874e-09,105.37,Uncoated,human,colon,LDH,2.93,Small
1679,ID_1829,SiO2,375.4,-26.8,PC12,Yes,1.698999203365477e-10,94.04,Phosphonate,rat,adrenal gland,MTT,2.93,Small
1680,ID_1830,SiO2,14.0,-35.9,RAW 264.7,Yes,3.930729146901029e-07,107.18,Uncoated,mouse,blood,WST-1,2.93,Small
1681,ID_1831,SiO2,14.0,-35.9,RAW 264.7,Yes,1.965364573450515e-07,127.96,Uncoated,mouse,blood,WST-1,2.93,Small
1682,ID_1832,SiO2,369.0,79.0,primary tissue Macrophage,No,1.07336673543553e-10,121.78,Uncoated,human,lung,Vialight,2.93,Small
1683,ID_1833,SiO2,369.0,79.0,primary tissue Macrophage,No,4.29346694174212e-10,3.56,Uncoated,human,lung,Vialight,2.93,Small
1684,ID_1834,SiO2,240.0,58.0,A549,Yes,3.901157689198649e-10,112.32,Uncoated,human,lung,Vialight,2.93,Small
1685,ID_1835,SiO2,240.0,58.0,A549,Yes,1.56046307567946e-09,113.94,Uncoated,human,lung,Vialight,2.93,Small
1686,ID_1836,SiO2,240.0,58.0,RAW 264.7,Yes,1.56046307567946e-09,76.23,Uncoated,mouse,blood,Vialight,2.93,Small
1687,ID_1837,SiO2,240.0,58.0,primary alveolar epithelial cells,No,2.600771792799099e-09,87.09,Uncoated,human,lung,Vialight,2.93,Small
1688,ID_1838,SiO2,240.0,58.0,primary alveolar Macrophage,No,3.901157689198649e-10,104.89,Uncoated,human,lung,Vialight,2.93,Small
1689,ID_1839,SiO2,240.0,58.0,primary alveolar Macrophage,No,1.56046307567946e-09,87.11,Uncoated,human,lung,Vialight,2.93,Small
1690,ID_1840,SiO2,240.0,58.0,primary tissue Macrophage,No,3.901157689198649e-10,142.22,Uncoated,human,lung,Vialight,2.93,Small
1691,ID_1841,SiO2,369.0,79.0,RAW 264.7,Yes,4.29346694174212e-10,32.67,Uncoated,mouse,blood,Vialight,2.93,Small
1692,ID_1842,SiO2,60.0,32.0,HUVEC,No,1.5021075e-09,110.24,Uncoated,human,umbilical cord,AlamarBlue,2.93,Small
1693,ID_1843,SiO2,598.2,87.0,A549,Yes,1.007738836221215e-10,104.24,Uncoated,human,lung,Vialight,2.93,Small
1694,ID_1844,SiO2,598.2,87.0,RAW 264.7,Yes,2.519347090553039e-11,62.83,Uncoated,mouse,blood,Vialight,2.93,Small
1695,ID_1845,SiO2,598.2,87.0,RAW 264.7,Yes,1.007738836221215e-10,44.4,Uncoated,mouse,blood,Vialight,2.93,Small
