Viability (%),Diameter (nm),Zeta potential (mV),Concentration (g/L),Time (h),Electronegativity,Cluster
82.487,50.0,24.4,0.005,72,2.54,1
96.701,50.0,24.4,0.001,72,2.54,1
5.4569,30.0,24.4,0.025,72,2.54,1
65.609,30.0,24.4,0.015,72,2.54,1
74.112,30.0,24.4,0.01,72,2.54,1
80.584,30.0,24.4,0.005,72,2.54,1
13.226,90.0,24.4,0.025,48,2.54,1
86.145,6.0,24.4,0.05,24,2.54,1
32.09,6.0,24.4,0.4,24,2.54,2
99.739,6.3,24.4,0.0003,24,2.54,1
40.808,215.0,24.4,0.005,24,2.54,2
97.262,6.3,24.4,0.0025,24,2.54,1
96.19,6.0,24.4,0.05,24,2.54,1
30.264,6.0,24.4,0.4,24,2.54,2
44.329,215.0,24.4,0.0025,24,2.54,2
99.087,6.3,24.4,0.0006,24,2.54,1
101.36,6.3,24.4,0.0006,24,2.54,1
78.221,6.0,24.4,0.05,24,2.54,1
68.798,6.0,24.4,0.1,24,2.54,1
52.139,6.0,24.4,0.2,24,2.54,1
43.917,6.0,24.4,0.2,24,2.54,1
96.783,25.0,24.4,0.0025,4,2.54,1
69.437,25.0,24.4,0.005,4,2.54,1
21.716,25.0,24.4,0.0075,4,2.54,1
15.013,25.0,24.4,0.01,4,2.54,1
7.7748,25.0,24.4,0.0125,4,2.54,1
6.9705,25.0,24.4,0.015,4,2.54,1
47.09,6.0,24.4,0.2,24,2.54,1
37.249,6.0,24.4,0.4,24,2.54,2
75.88,18.0,24.4,0.0025,24,2.54,1
79.27,18.0,24.4,0.0012,24,2.54,1
82.008,18.0,24.4,0.0006,24,2.54,1
84.876,18.0,24.4,0.0003,24,2.54,1
76.691,215.0,24.4,0.0025,24,2.54,1
77.41,215.0,24.4,0.0012,24,2.54,1
84.748,215.0,24.4,0.0006,24,2.54,1
98.993,215.0,24.4,0.0003,24,2.54,1
72.806,18.0,24.4,0.005,24,2.54,1
96.547,18.0,24.4,0.0025,24,2.54,1
100.58,18.0,24.4,0.0012,24,2.54,1
72.49,18.0,24.4,0.005,24,2.54,1
26.422,215.0,24.4,0.005,24,2.54,2
91.265,215.0,24.4,0.0003,24,2.54,1
66.623,215.0,24.4,0.0012,24,2.54,1
97.523,6.3,24.4,0.0012,24,2.54,1
41.727,215.0,24.4,0.005,24,2.54,2
100.0,6.3,24.4,0.0003,24,2.54,1
99.112,6.3,24.4,0.0012,24,2.54,1
96.61,6.3,24.4,0.005,24,2.54,1
98.705,18.0,24.4,0.0003,24,2.54,1
100.29,18.0,24.4,0.0006,24,2.54,1
90.352,215.0,24.4,0.0006,24,2.54,1
102.99,6.3,24.4,0.0025,24,2.54,1
14.764,215.0,24.4,0.0025,24,2.54,2
83.503,215.0,24.4,0.0012,24,2.54,1
81.459,90.0,24.4,0.01,72,2.54,1
13.325,215.0,24.4,0.005,24,2.54,2
16.377,215.0,24.4,0.0012,24,2.54,2
70.72,18.0,24.4,0.0025,24,2.54,1
84.988,18.0,24.4,0.0003,24,2.54,1
98.736,6.3,24.4,0.0025,24,2.54,1
99.494,6.3,24.4,0.0012,24,2.54,1
99.747,6.3,24.4,0.0003,24,2.54,1
82.427,215.0,24.4,0.0012,24,2.54,1
86.849,18.0,24.4,0.0006,24,2.54,1
87.105,215.0,24.4,0.0006,24,2.54,1
99.747,215.0,24.4,0.0003,24,2.54,1
74.21,18.0,24.4,0.005,24,2.54,1
80.025,18.0,24.4,0.0025,24,2.54,1
26.223,215.0,24.4,0.0025,24,2.54,2
66.168,215.0,24.4,0.0012,24,2.54,1
82.337,215.0,24.4,0.0006,24,2.54,1
97.011,215.0,24.4,0.0003,24,2.54,1
79.348,18.0,24.4,0.005,24,2.54,1
87.092,18.0,24.4,0.0025,24,2.54,1
98.37,18.0,24.4,0.0012,24,2.54,1
101.63,18.0,24.4,0.0003,24,2.54,1
86.104,6.3,24.4,0.005,24,2.54,1
88.834,6.3,24.4,0.0025,24,2.54,1
89.826,6.3,24.4,0.0012,24,2.54,1
89.578,6.3,24.4,0.0006,24,2.54,1
94.541,6.3,24.4,0.0003,24,2.54,1
13.896,215.0,24.4,0.005,24,2.54,2
23.223,215.0,24.4,0.0025,24,2.54,2
17.12,215.0,24.4,0.005,24,2.54,2
81.037,18.0,24.4,0.0012,24,2.54,1
90.645,18.0,24.4,0.0006,24,2.54,1
95.07,18.0,24.4,0.0003,24,2.54,1
95.305,6.3,24.4,0.005,24,2.54,1
94.162,6.3,24.4,0.0025,24,2.54,1
85.484,18.0,24.4,0.0012,24,2.54,1
54.094,18.0,24.4,0.005,24,2.54,1
103.26,6.3,24.4,0.0012,24,2.54,1
67.99,215.0,24.4,0.0003,24,2.54,1
93.162,270.0,24.4,0.005,48,2.54,1
69.675,6.0,24.4,0.1,24,2.54,1
46.853,61.46,24.4,0.0002,24,2.54,1
71.562,61.46,24.4,0.0004,24,2.54,1
75.524,61.46,24.4,0.002,24,2.54,1
79.487,61.46,24.4,0.004,24,2.54,1
72.494,61.46,24.4,0.02,24,2.54,1
2.0979,61.46,24.4,0.04,24,2.54,1
86.247,61.46,24.4,0.0002,96,2.54,1
59.441,61.46,24.4,0.0004,96,2.54,1
99.394,61.46,24.4,0.0002,24,2.54,1
113.39,33.69,24.4,0.04,96,2.54,1
81.212,61.46,24.4,0.0004,24,2.54,1
1.2121,61.46,24.4,0.04,24,2.54,1
94.242,61.46,24.4,0.002,24,2.54,1
82.284,61.46,24.4,0.02,96,2.54,1
84.149,61.46,24.4,0.004,96,2.54,1
81.818,61.46,24.4,0.002,96,2.54,1
119.7,61.46,24.4,0.0004,96,2.54,1
118.79,61.46,24.4,0.004,96,2.54,1
6.6667,61.46,24.4,0.02,96,2.54,1
1.2121,61.46,24.4,0.04,96,2.54,1
108.99,33.69,24.4,0.0002,24,2.54,1
135.36,33.69,24.4,0.0004,24,2.54,2
131.59,33.69,24.4,0.002,24,2.54,2
153.91,33.69,24.4,0.004,24,2.54,2
145.22,33.69,24.4,0.02,24,2.54,2
140.0,33.69,24.4,0.04,24,2.54,2
102.43,50.0,24.4,0.00167,72,2.54,1
72.444,65.0,24.4,0.0002,24,2.54,1
75.778,65.0,24.4,0.002,24,2.54,1
89.111,65.0,24.4,0.004,24,2.54,1
89.18,6.0,24.4,0.05,24,2.54,1
57.024,6.0,24.4,0.2,24,2.54,1
94.706,20.0,24.4,0.0125,72,2.54,1
99.216,50.0,24.4,0.00167,72,2.54,1
96.078,50.0,24.4,0.0025,72,2.54,1
95.686,50.0,24.4,0.005,72,2.54,1
91.569,20.0,24.4,0.00625,72,2.54,1
90.303,61.46,24.4,0.004,24,2.54,1
6.6667,5.0,24.4,0.0125,72,2.54,1
92.549,20.0,24.4,0.0025,72,2.54,1
92.745,20.0,24.4,0.00167,72,2.54,1
20.784,5.0,24.4,0.005,72,2.54,1
33.725,5.0,24.4,0.0025,72,2.54,1
73.333,5.0,24.4,0.00167,72,2.54,1
96.349,50.0,24.4,0.0125,72,2.54,1
98.377,50.0,24.4,0.00625,72,2.54,1
137.68,33.69,24.4,0.2,24,2.54,1
93.137,50.0,24.4,0.0125,72,2.54,1
10.0,5.0,24.4,0.00625,72,2.54,1
96.471,50.0,24.4,0.00625,72,2.54,1
93.137,20.0,24.4,0.005,72,2.54,1
78.551,33.69,24.4,0.0004,96,2.54,1
128.7,33.69,24.4,0.4,24,2.54,2
102.03,50.0,24.4,0.005,72,2.54,1
72.93,90.0,24.4,0.015,24,2.54,1
87.639,90.0,24.4,0.01,24,2.54,1
90.853,90.0,24.4,0.005,24,2.54,1
99.629,90.0,24.4,0.001,24,2.54,1
7.2335,50.0,24.4,0.025,24,2.54,1
68.782,50.0,24.4,0.015,24,2.54,1
80.457,50.0,24.4,0.01,24,2.54,1
98.858,50.0,24.4,0.001,24,2.54,1
6.599,30.0,24.4,0.025,24,2.54,1
68.655,30.0,24.4,0.015,24,2.54,1
77.919,30.0,24.4,0.01,24,2.54,1
81.98,30.0,24.4,0.005,24,2.54,1
98.604,30.0,24.4,0.001,24,2.54,1
47.125,6.0,24.4,0.4,24,2.54,2
19.778,90.0,24.4,0.025,24,2.54,1
72.85,6.0,24.4,0.1,24,2.54,1
96.701,30.0,24.4,0.001,48,2.54,1
75.873,6.0,24.4,0.1,24,2.54,1
23.03,61.46,24.4,0.02,24,2.54,1
84.264,50.0,24.4,0.005,24,2.54,1
120.0,61.46,24.4,0.0002,96,2.54,1
43.363,215.0,24.4,0.0025,24,2.54,2
77.284,30.0,24.4,0.01,48,2.54,1
79.531,38.0,24.4,0.0008,24,2.54,1
109.39,61.46,24.4,0.002,96,2.54,1
92.55768,21.7,-7.6,1.96966569e-05,24,2.54,2
95.48146,21.7,-7.6,1.96966569e-06,24,2.54,2
42.925983,20.0,24.4,0.196966569,48,2.54,1
108.26,33.69,24.4,0.2,96,2.54,1
70.94,33.69,24.4,0.4,96,2.54,1
92.308,33.69,24.4,0.004,96,2.54,1
126.78,33.69,24.4,0.4,96,2.54,1
98.377,20.0,24.4,0.0125,72,2.54,1
100.75949,20.0,24.4,1.96966569e-07,48,2.54,1
101.51899,20.0,24.4,1.96966569e-06,48,2.54,1
