PC1,PC2
0.562370295520764,0.14238292521839502
0.8771332084165353,-0.7054769590432308
0.9359191836024221,-0.6878336626218421
0.18849065625651,0.03017234505766297
0.04416197357991856,-0.955474684356048
0.08588903478447435,-0.0006221149811918357
0.20993392328378194,0.03660695656595219
1.0143007711787275,-0.6643091786423524
0.13016335219518513,0.012666706663564002
0.955514624099923,-0.6819525285431982
-0.026593818809334438,-0.0343810415923325
0.8967284769987671,-0.6995958784338973
0.9359191836021987,-0.6878336626217406
-0.16988434813339195,-1.019715908231855
-0.16937806739920505,-1.019563960306547
-0.13570777697786152,-1.0094585749380323
-0.16790125789650542,-1.0191207297408384
0.5320399932578059,0.13327990376030818
-0.1362140567186568,-1.0096105233143153
0.4672967958795279,0.09282796892067051
0.7007748543124289,-0.7584069825443859
0.5053777184371719,0.14089361186712662
0.22198604755330878,0.14413024739071528
0.3462331862521502,0.08772513474764092
0.4562747965951077,0.08951996185677095
0.45410154060637153,0.07325185457896514
0.4629546837079107,0.06060539192861624
0.5313189830669722,0.08112341042622066
0.4405010266993594,0.05355723407465956
0.5221328888806533,0.08117726283873992
0.5087083672078517,0.0740281448767338
0.013965729951824093,0.23785612228932457
0.3131442599894861,0.17148935011698535
0.3970878538365949,0.10298802809943035
0.47073917876671456,0.0782452703051678
0.5621225160312474,0.09317925682216009
-0.15091082263505531,0.18837210522903058
0.5033693718914577,0.07245387313928396
0.5178230592020527,0.1602446561079654
0.48565046164941506,0.06713593773276193
-0.0025037762003098604,-0.9694803675296285
-4.006158768311498,1.961401585793117
0.43159758635410583,0.1812135640714186
0.8575378396628477,-0.711358073085955
0.9359191833540992,-0.6878336625091096
0.9359191833540992,-0.6878336625091096
0.9555146240775718,-0.6819525285330513
-2.844100153411749,1.5293748907270475
-1.7567539513829744,1.0749249325885952
-0.6791391980894945,0.6175542973272703
0.8575378389178041,-0.7113580727477238
-6.203592765829307,2.863476120406532
-0.2207545578268781,0.21966242413304327
-0.22346021705078636,0.0626918508909252
-0.0009461260702422016,0.05139522356693237
0.19773837132139507,0.04856252862790655
-0.2923801133033234,0.19816561240608882
0.21944277951113364,0.1956192993004055
-1.1147024874388893,0.33067116818960557
-1.937906862851521,0.708238869675696
0.21420419637293792,-0.03352050677718203
0.3926598073719985,0.0009080563325732467
0.16475486418520008,-0.04834316527212183
0.13146818649495254,-0.05830266058123405
0.017057784631568214,-0.09257887293373757
-0.2218121525440477,-0.16414732073737112
-0.5419724040720043,-0.2599902098786019
0.164743789866299,-0.048346488981750854
0.20341083381418024,-0.03675989363125924
0.18469785938080402,-0.0422654463808083
-0.010910102768060556,-0.10084977802785416
-0.12557639147588345,-0.1350182410458151
0.08595770255542892,-0.09114109474642978
0.20958189339329386,-0.03491393944437775
0.15210938038147234,-0.07128746834763267
0.3505634537185873,-0.011726166422542919
0.1493112163929387,-0.05299668624625191
0.18638579937895905,-0.041851122896393186
-0.23373115464403887,-0.1674784790954003
-0.043356636357741014,-0.11058788084786011
0.060319829417808495,-0.07959473584039645
0.11766129694015723,-0.06250185471621483
0.12607150521557384,-0.0599223540082726
0.5145443486553836,-0.22157019210597548
0.9749693708435947,-0.6719303314615247
0.8600856727830901,-0.1459722118775569
0.6128596367755539,-0.2076789058676597
0.3149034025566044,-0.26587211290324075
0.11720310243106555,-0.03488618470707343
0.10321096894544604,-0.04689353775623849
0.5158160294882341,0.07288053965483987
-0.9291097173962599,-0.4293626404144587
0.18127250331816525,-0.12733790763913153
0.35689874527984566,-0.09024346425798901
0.47942057613225486,-0.06908712453123578
0.7460746298658102,-0.0015495446721708235
-1.2784713438095738,0.8334778312316244
-0.3029820036001754,0.5016150627866265
0.17423770358023982,0.3325248458694071
0.39469265012126803,0.24253094729446917
0.7043699229874468,0.17984923677380943
0.6867820508142488,0.17644453187898596
0.6965009375365203,0.18342156057453746
0.6585048117391391,0.17982579802641702
0.6279845695202823,0.10373456969853351
0.6001811726425156,0.09632695190357354
0.3927411119798795,-0.005781762477949361
0.12115396465656808,-0.05606087666445446
0.9361090949368369,-0.6826564246971688
0.6815263636437022,0.06839800245087568
-0.9958711034113944,-0.36007931179838815
-0.7375540263488446,-0.550512012352562
0.26532184564899924,-0.2807529105023962
0.743282518511061,0.19059103257463011
0.5956116030852191,-0.21285551818759105
0.8363674464748442,-0.1530907080910115
-0.9291097173962599,-0.4293626404144587
0.14143983501814078,-0.13929279392702143
0.352469017719335,-0.09157294810961952
0.4683462572309782,-0.07241083416031202
0.7328028870565636,-0.0055327620386701375
-1.000297342997448,-0.36140774881234017
0.09016331160527921,-0.06536202943747565
0.25916240209847896,-0.030256577645386685
0.3927411119798795,-0.005781762477949361
-0.7375540263488446,-0.550512012352562
0.2524530517609348,0.19984090676731042
-2.1398091961168926,0.5749665007269852
0.6960030247451386,0.17640114784325117
0.09141063365235244,-0.9224318627513907
0.6436930042561023,0.16757243812281647
0.42763656886852996,0.2524183291674219
-2.17165440291017,0.5654088727227439
0.1631703521944129,-0.9087027114758819
0.6833897566280205,0.1735525081379375
0.7230305863329048,0.18544981835351265
0.11425950377083197,0.15836519794715292
-0.25715497727326686,0.20305196179880908
-0.9618429386731309,0.30387265951596354
-1.1052335686043053,0.2608371625549166
0.6749992642842303,0.09345386228265623
0.18773458854073083,-0.044979827438114225
-0.6548674850193192,-0.2900601056508977
-0.7821208771737609,-0.3204444443905333
-0.9187080889753885,-0.353630120757699
-0.9430889064794993,-0.35313955242799294
-1.0498968538424935,0.2774452423235133
-2.049836894996128,0.6019696786425824
0.29560763999880485,0.010850028587019786
0.3601128497235144,0.02614970568886733
0.41034816281512143,0.03935281125397545
0.461608187916852,0.05380041243650642
0.727559499096951,-0.7393139067260158
0.7454828099471571,-0.7379947468198574
0.8759415355519486,-0.7007143746504175
1.1256149876455266,-0.6267174121293035
0.23164354436835166,-0.0005394404771549748
0.6560374805227142,0.11902500008956857
0.7317565281269841,0.13769026032763032
0.22613254472614153,-0.002193444009104752
