Unnamed: 0,No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Time (h),Test,Electronegativity,dataset
869,ID_0932,Fe3O4,28.33,49.2572217301193,hPDLF,No,0.001,55.289,0,human,teeth,24,MTT,2.75,Small
870,ID_0933,Fe3O4,6.0,49.2572217301193,A549,Yes,0.004,45.319,0,human,lung,72,MTT,2.75,Small
871,ID_0934,Fe3O4,6.0,49.2572217301193,A549,Yes,0.0005,85.745,0,human,lung,72,MTT,2.75,Small
872,ID_0935,Fe3O4,46.8,49.2572217301193,HCMEC,No,0.05,89.18,0,human,heart,24,MTT,2.75,Small
873,ID_0936,Fe3O4,6.0,49.2572217301193,HeLa,Yes,0.004,42.229,0,human,cervix,72,MTT,2.75,Small
874,ID_0937,Fe3O4,22.0,49.2572217301193,A549,Yes,0.025,72.0,0,human,lung,24,MTT,2.75,Small
875,ID_0938,Fe3O4,22.0,49.2572217301193,A549,Yes,0.01,84.0,0,human,lung,24,MTT,2.75,Small
876,ID_0939,Fe3O4,42.5,49.2572217301193,HCMEC,No,0.001,93.77,0,human,heart,24,MTT,2.75,Small
877,ID_0940,Fe3O4,42.5,49.2572217301193,HCMEC,No,0.005,88.525,0,human,heart,24,MTT,2.75,Small
878,ID_0941,Fe3O4,42.5,49.2572217301193,HCMEC,No,1e-05,96.721,0,human,heart,24,MTT,2.75,Small
879,ID_0942,Fe3O4,6.0,49.2572217301193,HeLa,Yes,0.002,50.217,0,human,cervix,72,MTT,2.75,Small
880,ID_0943,Fe3O4,6.0,49.2572217301193,HeLa,Yes,0.0005,75.294,0,human,cervix,72,MTT,2.75,Small
881,ID_0944,Fe3O4,6.0,49.2572217301193,HeLa,Yes,0.004,65.263,0,human,cervix,48,MTT,2.75,Small
882,ID_0945,Fe3O4,28.33,49.2572217301193,hPDLF,No,0.001,52.119,0,human,teeth,48,MTT,2.75,Small
883,ID_0946,Fe3O4,6.0,49.2572217301193,HeLa,Yes,0.002,72.693,0,human,cervix,48,MTT,2.75,Small
884,ID_0947,Fe3O4,42.5,49.2572217301193,HCMEC,No,0.01,88.852,0,human,heart,24,MTT,2.75,Small
885,ID_0948,Fe3O4,28.33,49.2572217301193,hPDLF,No,0.001,100.0,0,human,teeth,6,MTT,2.75,Small
886,ID_0949,Fe3O4,42.5,49.2572217301193,HCMEC,No,0.05,92.131,0,human,heart,24,MTT,2.75,Small
887,ID_0950,Fe3O4,42.5,49.2572217301193,HCMEC,No,0.1,89.508,0,human,heart,24,MTT,2.75,Small
888,ID_0951,Fe3O4,46.8,49.2572217301193,HCMEC,No,1e-06,98.689,0,human,heart,24,MTT,2.75,Small
889,ID_0952,Fe3O4,6.0,49.2572217301193,HeLa,Yes,0.0005,87.183,0,human,cervix,24,MTT,2.75,Small
890,ID_0953,Fe3O4,6.0,49.2572217301193,HeLa,Yes,0.002,86.44,0,human,cervix,24,MTT,2.75,Small
891,ID_0954,Fe3O4,6.0,49.2572217301193,HeLa,Yes,0.004,84.582,0,human,cervix,24,MTT,2.75,Small
892,ID_0956,Fe3O4,46.8,49.2572217301193,HCMEC,No,0.01,92.787,0,human,heart,24,MTT,2.75,Small
893,ID_0957,Fe3O4,46.8,49.2572217301193,HCMEC,No,0.005,91.148,0,human,heart,24,MTT,2.75,Small
894,ID_0958,Fe3O4,46.8,49.2572217301193,HCMEC,No,0.001,95.738,0,human,heart,24,MTT,2.75,Small
895,ID_0959,Fe3O4,42.5,49.2572217301193,HCMEC,No,1e-06,95.738,0,human,heart,24,MTT,2.75,Small
896,ID_0961,Fe3O4,46.8,49.2572217301193,HCMEC,No,1e-05,100.66,0,human,heart,24,MTT,2.75,Small
897,ID_0962,Fe3O4,6.0,49.2572217301193,A549,Yes,0.002,71.915,0,human,lung,72,MTT,2.75,Small
898,ID_0964,Fe3O4,28.33,49.2572217301193,mDF,No,0.001,76.377,0,mouse,skin,48,MTT,2.75,Small
899,ID_0965,Fe3O4,28.33,49.2572217301193,mDF,No,0.05,74.783,0,mouse,skin,48,MTT,2.75,Small
900,ID_0966,Fe3O4,28.33,49.2572217301193,mDF,No,0.001,100.0,0,mouse,skin,24,MTT,2.75,Small
901,ID_0967,Fe3O4,28.33,49.2572217301193,mDF,No,0.01,88.326,0,mouse,skin,24,MTT,2.75,Small
902,ID_0968,Fe3O4,28.33,49.2572217301193,mDF,No,0.1,76.371,0,mouse,skin,24,MTT,2.75,Small
903,ID_0969,Fe3O4,22.0,49.2572217301193,A549,Yes,0.05,65.0,0,human,lung,24,NRU,2.75,Small
904,ID_0970,Fe3O4,22.0,49.2572217301193,A549,Yes,0.01,87.0,0,human,lung,24,NRU,2.75,Small
905,ID_0971,Fe3O4,22.0,49.2572217301193,A549,Yes,0.05,56.0,0,human,lung,24,MTT,2.75,Small
906,ID_0972,Fe3O4,42.5,49.2572217301193,HCMEC,No,0.1,95.724,0,human,heart,12,MTT,2.75,Small
907,ID_0973,Fe3O4,42.5,49.2572217301193,HCMEC,No,0.02,96.711,0,human,heart,12,MTT,2.75,Small
908,ID_0974,Fe3O4,22.0,49.2572217301193,A549,Yes,0.025,79.0,0,human,lung,24,NRU,2.75,Small
909,ID_0975,Fe3O4,28.33,49.2572217301193,hPDLF,No,0.01,48.87,0,human,teeth,48,MTT,2.75,Small
910,ID_0976,Fe3O4,28.33,49.2572217301193,hPDLF,No,0.0001,51.13,0,human,teeth,48,MTT,2.75,Small
911,ID_0977,Fe3O4,28.33,49.2572217301193,mDF,No,0.0001,87.482,0,mouse,skin,24,MTT,2.75,Small
912,ID_0978,Fe3O4,28.33,49.2572217301193,mDF,No,0.1,80.0,0,mouse,skin,6,MTT,2.75,Small
913,ID_0979,Fe3O4,28.33,49.2572217301193,mDF,No,0.05,87.538,0,mouse,skin,6,MTT,2.75,Small
914,ID_0980,Fe3O4,28.33,49.2572217301193,mDF,No,0.01,85.385,0,mouse,skin,6,MTT,2.75,Small
915,ID_0981,Fe3O4,28.33,49.2572217301193,mDF,No,0.001,90.462,0,mouse,skin,6,MTT,2.75,Small
916,ID_0982,Fe3O4,28.33,49.2572217301193,mDF,No,0.0001,41.739,0,mouse,skin,48,MTT,2.75,Small
917,ID_0983,Fe3O4,28.33,49.2572217301193,mDF,No,0.0001,83.538,0,mouse,skin,6,MTT,2.75,Small
918,ID_0984,Fe3O4,6.0,49.2572217301193,A549,Yes,0.0005,97.447,0,human,lung,24,MTT,2.75,Small
919,ID_0985,Fe3O4,6.0,49.2572217301193,A549,Yes,0.004,91.277,0,human,lung,24,MTT,2.75,Small
920,ID_0986,Fe3O4,6.0,49.2572217301193,A549,Yes,0.002,94.681,0,human,lung,24,MTT,2.75,Small
921,ID_0987,Fe3O4,28.33,49.2572217301193,hPDLF,No,0.01,94.302,0,human,teeth,6,MTT,2.75,Small
922,ID_0988,Fe3O4,28.33,49.2572217301193,mDF,No,0.01,84.348,0,mouse,skin,48,MTT,2.75,Small
923,ID_0989,Fe3O4,28.33,49.2572217301193,mDF,No,0.1,63.478,0,mouse,skin,48,MTT,2.75,Small
924,ID_0990,Fe3O4,6.0,49.2572217301193,A549,Yes,0.0005,92.766,0,human,lung,48,MTT,2.75,Small
925,ID_0991,Fe3O4,6.0,49.2572217301193,HeLa,Yes,0.0005,77.523,0,human,cervix,48,MTT,2.75,Small
926,ID_0993,Fe3O4,28.33,49.2572217301193,mDF,No,0.05,85.654,0,mouse,skin,24,MTT,2.75,Small
927,ID_0994,Fe3O4,6.0,49.2572217301193,A549,Yes,0.004,63.404,0,human,lung,48,MTT,2.75,Small
928,ID_0995,Fe3O4,6.0,49.2572217301193,A549,Yes,0.002,80.426,0,human,lung,48,MTT,2.75,Small
929,ID_0996,Fe3O4,361.4,12.1,SH-SY5Y,Yes,9.277207573987139e-12,93.6590295,PEG to the PEI,human,bone marrow,4,LDH,2.75,Small
930,ID_0997,Fe3O4,145.8,17.7,RAW 264.7,Yes,5.65157034903575e-10,94.188034,PEI,mouse,blood,24,LDH,2.75,Small
931,ID_0998,Fe3O4,13.5,49.2572217301193,H4,Yes,2.315326e-07,100.04773,0,human,brain,48,Live/Dead,2.75,Small
932,ID_0999,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.41289258725894e-10,93.7606835,PEI,mouse,blood,72,LDH,2.75,Small
933,ID_1000,Fe3O4,13.5,49.2572217301193,H4,Yes,0.0002315326,99.92608,0,human,brain,48,Live/Dead,2.75,Small
934,ID_1001,Fe3O4,274.1,-27.7,SKOV-3,Yes,6.80463117080962e-11,91.91919,folic acid with intermediate inorganic (silica) coating,human,ovary,24,MTT,2.75,Small
935,ID_1002,Fe3O4,274.1,-27.7,SKOV-3,Yes,3.40231558540481e-11,83.333336,folic acid with intermediate inorganic (silica) coating,human,ovary,24,MTT,2.75,Small
936,ID_1003,Fe3O4,361.4,12.1,RAW 264.7,Yes,7.42176605918971e-11,55.68182,PEG to the PEI,mouse,blood,24,Live/Dead,2.75,Small
937,ID_1004,Fe3O4,361.4,12.1,RAW 264.7,Yes,4.63118202093438e-12,98.86364,PEG to the PEI,mouse,blood,72,Live/Dead,2.75,Small
938,ID_1005,Fe3O4,361.4,12.1,SH-SY5Y,Yes,3.71088302959485e-11,56.497173,PEG to the PEI,human,bone marrow,24,Live/Dead,2.75,Small
939,ID_1006,Fe3O4,361.4,12.1,SH-SY5Y,Yes,1.8554415147974297e-11,57.062145,PEG to the PEI,human,bone marrow,24,Live/Dead,2.75,Small
940,ID_1007,Fe3O4,145.8,17.7,RAW 264.7,Yes,5.65157034903575e-10,94.188034,PEI,mouse,blood,1,LDH,2.75,Small
941,ID_1010,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.41289258725894e-10,95.042735,PEI,mouse,blood,1,LDH,2.75,Small
942,ID_1011,Fe3O4,361.4,12.1,SH-SY5Y,Yes,3.71088302959485e-11,13.559322,PEG to the PEI,human,bone marrow,72,Live/Dead,2.75,Small
943,ID_1012,Fe3O4,361.4,12.1,SH-SY5Y,Yes,7.42176605918971e-11,2.8248587,PEG to the PEI,human,bone marrow,72,Live/Dead,2.75,Small
944,ID_1013,Fe3O4,361.4,12.1,SH-SY5Y,Yes,4.63118202093438e-12,56.497173,PEG to the PEI,human,bone marrow,120,Live/Dead,2.75,Small
945,ID_1014,Fe3O4,361.4,12.1,SH-SY5Y,Yes,1.8554415147974297e-11,17.514124,PEG to the PEI,human,bone marrow,120,Live/Dead,2.75,Small
946,ID_1015,Fe3O4,361.4,12.1,SH-SY5Y,Yes,3.71088302959485e-11,10.169492,PEG to the PEI,human,bone marrow,120,Live/Dead,2.75,Small
947,ID_1016,Fe3O4,361.4,12.1,SH-SY5Y,Yes,4.63118202093438e-12,38.41808,PEG to the PEI,human,bone marrow,168,Live/Dead,2.75,Small
948,ID_1017,Fe3O4,361.4,12.1,SH-SY5Y,Yes,3.71088302959485e-11,401.9854,PEG to the PEI,human,bone marrow,72,CellTiterBlue,2.75,Small
949,ID_1018,Fe3O4,361.4,12.1,SH-SY5Y,Yes,9.277207573987139e-12,28.248587,PEG to the PEI,human,bone marrow,168,Live/Dead,2.75,Small
950,ID_1019,Fe3O4,361.4,12.1,SH-SY5Y,Yes,4.63118202093438e-12,95.480225,PEG to the PEI,human,bone marrow,24,Live/Dead,2.75,Small
951,ID_1020,Fe3O4,361.4,12.1,SH-SY5Y,Yes,1.8554415147974297e-11,14.124293,PEG to the PEI,human,bone marrow,168,Live/Dead,2.75,Small
952,ID_1022,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.41289258725894e-10,95.042735,PEI,mouse,blood,4,LDH,2.75,Small
953,ID_1023,Fe3O4,361.4,12.1,SH-SY5Y,Yes,4.63118202093438e-12,95.91124,PEG to the PEI,human,bone marrow,72,MTS,2.75,Small
954,ID_1024,Fe3O4,361.4,12.1,SH-SY5Y,Yes,9.277207573987139e-12,101.437775,PEG to the PEI,human,bone marrow,72,MTS,2.75,Small
955,ID_1025,Fe3O4,361.4,12.1,SH-SY5Y,Yes,1.8554415147974297e-11,114.38183,PEG to the PEI,human,bone marrow,72,MTS,2.75,Small
956,ID_1026,Fe3O4,361.4,12.1,SH-SY5Y,Yes,3.71088302959485e-11,162.86815,PEG to the PEI,human,bone marrow,72,MTS,2.75,Small
957,ID_1027,Fe3O4,361.4,12.1,SH-SY5Y,Yes,7.42176605918971e-11,163.80347,PEG to the PEI,human,bone marrow,72,MTS,2.75,Small
958,ID_1029,Fe3O4,145.8,17.7,RAW 264.7,Yes,7.05315979559662e-11,95.4700856,PEI,mouse,blood,1,LDH,2.75,Small
959,ID_1030,Fe3O4,145.8,17.7,RAW 264.7,Yes,7.05315979559662e-11,74.254425,PEI,mouse,blood,168,Live/Dead,2.75,Small
960,ID_1031,Fe3O4,145.8,17.7,SH-SY5Y,Yes,2.82578517451788e-10,78.220339,PEI,human,bone marrow,4,LDH,2.75,Small
961,ID_1032,Fe3O4,145.8,17.7,RAW 264.7,Yes,2.82578517451788e-10,59.84001,PEI,mouse,blood,168,Live/Dead,2.75,Small
962,ID_1033,Fe3O4,145.8,17.7,RAW 264.7,Yes,7.05315979559662e-11,93.7606835,PEI,mouse,blood,4,LDH,2.75,Small
963,ID_1034,Fe3O4,145.8,17.7,RAW 264.7,Yes,5.65157034903575e-10,46.02516,PEI,mouse,blood,168,Live/Dead,2.75,Small
964,ID_1035,Fe3O4,145.8,17.7,SH-SY5Y,Yes,7.05315979559662e-11,88.389831,PEI,human,bone marrow,1,LDH,2.75,Small
965,ID_1038,Fe3O4,361.4,12.1,SH-SY5Y,Yes,7.42176605918971e-11,55.932205,PEG to the PEI,human,bone marrow,24,Live/Dead,2.75,Small
966,ID_1039,Fe3O4,361.4,12.1,SH-SY5Y,Yes,4.63118202093438e-12,61.01695,PEG to the PEI,human,bone marrow,72,Live/Dead,2.75,Small
967,ID_1040,Fe3O4,361.4,12.1,SH-SY5Y,Yes,9.277207573987139e-12,37.288136,PEG to the PEI,human,bone marrow,72,Live/Dead,2.75,Small
968,ID_1041,Fe3O4,361.4,12.1,SH-SY5Y,Yes,1.8554415147974297e-11,23.728813,PEG to the PEI,human,bone marrow,72,Live/Dead,2.75,Small
969,ID_1042,Fe3O4,145.8,17.7,RAW 264.7,Yes,7.05315979559662e-11,93.7606835,PEI,mouse,blood,24,LDH,2.75,Small
970,ID_1043,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.13031406980715e-09,94.188034,PEI,mouse,blood,4,LDH,2.75,Small
971,ID_1045,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.13031406980715e-09,39.68158,PEI,mouse,blood,168,Live/Dead,2.75,Small
972,ID_1046,Fe3O4,361.4,12.1,SH-SY5Y,Yes,3.71088302959485e-11,0.0,PEG to the PEI,human,bone marrow,168,Live/Dead,2.75,Small
973,ID_1048,Fe3O4,361.4,12.1,RAW 264.7,Yes,4.63118202093438e-12,100.568184,PEG to the PEI,mouse,blood,24,Live/Dead,2.75,Small
974,ID_1049,Fe3O4,361.4,12.1,SH-SY5Y,Yes,1.8554415147974297e-11,95.0878506,PEG to the PEI,human,bone marrow,4,LDH,2.75,Small
975,ID_1050,Fe3O4,361.4,12.1,RAW 264.7,Yes,3.71088302959485e-11,90.333368,PEG to the PEI,mouse,blood,72,LDH,2.75,Small
976,ID_1051,Fe3O4,361.4,12.1,RAW 264.7,Yes,1.8554415147974297e-11,89.871091,PEG to the PEI,mouse,blood,72,LDH,2.75,Small
977,ID_1052,Fe3O4,361.4,12.1,RAW 264.7,Yes,9.277207573987139e-12,88.072168,PEG to the PEI,mouse,blood,72,LDH,2.75,Small
978,ID_1053,Fe3O4,361.4,12.1,RAW 264.7,Yes,4.63118202093438e-12,88.05896,PEG to the PEI,mouse,blood,72,LDH,2.75,Small
979,ID_1054,Fe3O4,361.4,12.1,RAW 264.7,Yes,7.42176605918971e-11,91.132449,PEG to the PEI,mouse,blood,24,LDH,2.75,Small
980,ID_1055,Fe3O4,361.4,12.1,RAW 264.7,Yes,3.71088302959485e-11,91.113958,PEG to the PEI,mouse,blood,24,LDH,2.75,Small
981,ID_1056,Fe3O4,361.4,12.1,RAW 264.7,Yes,9.277207573987139e-12,75.568184,PEG to the PEI,mouse,blood,120,Live/Dead,2.75,Small
982,ID_1057,Fe3O4,361.4,12.1,RAW 264.7,Yes,1.8554415147974297e-11,74.431816,PEG to the PEI,mouse,blood,120,Live/Dead,2.75,Small
983,ID_1058,Fe3O4,361.4,12.1,RAW 264.7,Yes,3.71088302959485e-11,53.409092,PEG to the PEI,mouse,blood,120,Live/Dead,2.75,Small
984,ID_1059,Fe3O4,361.4,12.1,RAW 264.7,Yes,7.42176605918971e-11,32.954544,PEG to the PEI,mouse,blood,168,Live/Dead,2.75,Small
985,ID_1060,Fe3O4,361.4,12.1,RAW 264.7,Yes,7.42176605918971e-11,43.75,PEG to the PEI,mouse,blood,120,Live/Dead,2.75,Small
986,ID_1061,Fe3O4,361.4,12.1,RAW 264.7,Yes,4.63118202093438e-12,69.88636,PEG to the PEI,mouse,blood,168,Live/Dead,2.75,Small
987,ID_1062,Fe3O4,361.4,12.1,RAW 264.7,Yes,1.8554415147974297e-11,55.113636,PEG to the PEI,mouse,blood,168,Live/Dead,2.75,Small
988,ID_1063,Fe3O4,361.4,12.1,RAW 264.7,Yes,3.71088302959485e-11,50.56818,PEG to the PEI,mouse,blood,168,Live/Dead,2.75,Small
989,ID_1064,Fe3O4,361.4,12.1,SH-SY5Y,Yes,4.63118202093438e-12,92.11166,PEG to the PEI,human,bone marrow,1,LDH,2.75,Small
990,ID_1065,Fe3O4,361.4,12.1,SH-SY5Y,Yes,7.42176605918971e-11,91.820905,PEG to the PEI,human,bone marrow,4,LDH,2.75,Small
991,ID_1066,Fe3O4,13.5,49.2572217301193,H4,Yes,0.002315326,84.520706,0,human,brain,48,MTS,2.75,Small
992,ID_1067,Fe3O4,13.5,49.2572217301193,H4,Yes,0.0002315326,87.846344,0,human,brain,48,MTS,2.75,Small
993,ID_1068,Fe3O4,13.5,49.2572217301193,H4,Yes,2.315326e-05,93.43899,0,human,brain,48,MTS,2.75,Small
994,ID_1069,Fe3O4,361.4,12.1,SH-SY5Y,Yes,3.71088302959485e-11,95.105321,PEG to the PEI,human,bone marrow,4,LDH,2.75,Small
995,ID_1070,Fe3O4,361.4,12.1,SH-SY5Y,Yes,9.277207573987139e-12,92.1278825,PEG to the PEI,human,bone marrow,1,LDH,2.75,Small
996,ID_1071,Fe3O4,361.4,12.1,SH-SY5Y,Yes,1.8554415147974297e-11,92.141609,PEG to the PEI,human,bone marrow,1,LDH,2.75,Small
997,ID_1072,Fe3O4,361.4,12.1,RAW 264.7,Yes,9.277207573987139e-12,84.09091,PEG to the PEI,mouse,blood,24,Live/Dead,2.75,Small
998,ID_1073,Fe3O4,361.4,12.1,RAW 264.7,Yes,1.8554415147974297e-11,83.52273,PEG to the PEI,mouse,blood,24,Live/Dead,2.75,Small
999,ID_1074,Fe3O4,361.4,12.1,RAW 264.7,Yes,3.71088302959485e-11,79.545456,PEG to the PEI,mouse,blood,24,Live/Dead,2.75,Small
1000,ID_1076,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.13031406980715e-09,94.6153846,PEI,mouse,blood,24,LDH,2.75,Small
1001,ID_1077,Fe3O4,145.8,17.7,RAW 264.7,Yes,2.82578517451788e-10,95.4700856,PEI,mouse,blood,4,LDH,2.75,Small
1002,ID_1078,Fe3O4,361.4,12.1,SH-SY5Y,Yes,3.71088302959485e-11,90.741489,PEG to the PEI,human,bone marrow,1,LDH,2.75,Small
1003,ID_1079,Fe3O4,361.4,12.1,SH-SY5Y,Yes,7.42176605918971e-11,91.701108,PEG to the PEI,human,bone marrow,1,LDH,2.75,Small
1004,ID_1080,Fe3O4,361.4,12.1,SH-SY5Y,Yes,4.63118202093438e-12,93.644055,PEG to the PEI,human,bone marrow,4,LDH,2.75,Small
1005,ID_1081,Fe3O4,361.4,12.1,RAW 264.7,Yes,9.277207573987139e-12,61.93182,PEG to the PEI,mouse,blood,168,Live/Dead,2.75,Small
1006,ID_1082,Fe3O4,361.4,12.1,RAW 264.7,Yes,1.8554415147974297e-11,92.436074,PEG to the PEI,mouse,blood,24,LDH,2.75,Small
1007,ID_1083,Fe3O4,12.5,49.2572217301193,hTERT-BJ1,No,7.1746654969572e-05,49.814953,0,human,foreskin,28,MTT,2.75,Small
1008,ID_1084,Fe3O4,12.5,49.2572217301193,hTERT-BJ1,No,3.5873327484786e-05,67.59135,0,human,foreskin,27,MTT,2.75,Small
1009,ID_1085,Fe3O4,12.5,49.2572217301193,hTERT-BJ1,No,1.7936663742393e-05,72.867615,0,human,foreskin,26,MTT,2.75,Small
1010,ID_1086,Fe3O4,12.5,49.2572217301193,hTERT-BJ1,No,7.1746654969572e-06,84.941284,0,human,foreskin,25,MTT,2.75,Small
1011,ID_1087,Fe3O4,12.5,49.2572217301193,hTERT-BJ1,No,3.5873327484786e-06,97.3923,0,human,foreskin,24,MTT,2.75,Small
1012,ID_1088,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.13031406980715e-09,92.4786325,PEI,mouse,blood,72,LDH,2.75,Small
1013,ID_1089,Fe3O4,13.5,49.2572217301193,H4,Yes,2.315326e-07,101.673546,0,human,brain,48,MTS,2.75,Small
1014,ID_1091,Fe3O4,145.8,17.7,SH-SY5Y,Yes,1.13031406980715e-09,87.118644,PEI,human,bone marrow,1,LDH,2.75,Small
1015,ID_1092,Fe3O4,361.4,12.1,SH-SY5Y,Yes,1.8554415147974297e-11,63.54501,PEG to the PEI,human,bone marrow,72,CellTiterBlue,2.75,Small
1016,ID_1093,Fe3O4,361.4,12.1,SH-SY5Y,Yes,9.277207573987139e-12,88.25786,PEG to the PEI,human,bone marrow,72,CellTiterBlue,2.75,Small
1017,ID_1094,Fe3O4,361.4,12.1,RAW 264.7,Yes,7.42176605918971e-11,107.93651,PEG to the PEI,mouse,blood,72,CellTiterBlue,2.75,Small
1018,ID_1095,Fe3O4,326.5,-23.5,Monocytes,No,2.0130387938221e-10,81.74228,folic acid with intermediate organic (PEG) coating,human,blood,24,LDH,2.75,Small
1019,ID_1096,Fe3O4,326.5,-23.5,Monocytes,No,4.0260775876442003e-11,81.67816,folic acid with intermediate organic (PEG) coating,human,blood,24,LDH,2.75,Small
1020,ID_1097,Fe3O4,274.1,-27.7,SKOV-3,Yes,3.40231558540481e-10,85.85859,folic acid with intermediate inorganic (silica) coating,human,ovary,24,MTT,2.75,Small
1021,ID_1098,Fe3O4,274.1,-27.7,SKOV-3,Yes,3.40231558540481e-11,88.383835,folic acid with intermediate inorganic (silica) coating,human,ovary,48,MTT,2.75,Small
1022,ID_1099,Fe3O4,274.1,-27.7,Monocytes,No,6.80463117080962e-11,77.682976,folic acid with intermediate inorganic (silica) coating,human,blood,24,LDH,2.75,Small
1023,ID_1100,Fe3O4,326.5,-23.5,SKOV-3,Yes,2.0130387938221e-10,88.110214,folic acid with intermediate organic (PEG) coating,human,ovary,24,MTT,2.75,Small
1024,ID_1101,Fe3O4,36.0,49.2572217301193,A549,Yes,1.50173809893096e-07,56.729298,0,human,lung,24,MTT,2.75,Small
1025,ID_1102,Fe3O4,361.4,12.1,SH-SY5Y,Yes,3.71088302959485e-11,21.650686,PEG to the PEI,human,bone marrow,72,CellTiterBlue,2.75,Small
1026,ID_1103,Fe3O4,326.5,-23.5,SKOV-3,Yes,2.0130387938221002e-11,86.72798,folic acid with intermediate organic (PEG) coating,human,ovary,24,MTT,2.75,Small
1027,ID_1104,Fe3O4,361.4,12.1,SH-SY5Y,Yes,7.42176605918971e-11,24.476988,PEG to the PEI,human,bone marrow,72,CellTiterBlue,2.75,Small
1028,ID_1105,Fe3O4,361.4,12.1,RAW 264.7,Yes,9.277207573987139e-12,93.75041,PEG to the PEI,mouse,blood,72,MTS,2.75,Small
1029,ID_1106,Fe3O4,274.1,-27.7,SKOV-3,Yes,3.40231558540481e-12,87.878784,folic acid with intermediate inorganic (silica) coating,human,ovary,24,MTT,2.75,Small
1030,ID_1107,Fe3O4,274.1,-27.7,SKOV-3,Yes,6.80463117080962e-12,86.36364,folic acid with intermediate inorganic (silica) coating,human,ovary,24,MTT,2.75,Small
1031,ID_1108,Fe3O4,145.8,17.7,SH-SY5Y,Yes,7.05315979559662e-11,112.66376,PEI,human,bone marrow,72,CellTiterBlue,2.75,Small
1032,ID_1109,Fe3O4,361.4,12.1,RAW 264.7,Yes,4.63118202093438e-12,96.080734,PEG to the PEI,mouse,blood,72,CellTiterBlue,2.75,Small
1033,ID_1110,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.13031406980715e-09,63.3877,PEI,mouse,blood,120,Live/Dead,2.75,Small
1034,ID_1111,Fe3O4,145.8,17.7,RAW 264.7,Yes,1.41289258725894e-10,68.484,PEI,mouse,blood,168,Live/Dead,2.75,Small
1035,ID_1112,Fe3O4,361.4,12.1,RAW 264.7,Yes,7.42176605918971e-11,73.809525,PEG to the PEI,mouse,blood,72,CellTiterBlue,2.75,Small
1036,ID_1113,Fe3O4,361.4,12.1,RAW 264.7,Yes,3.71088302959485e-11,73.4127,PEG to the PEI,mouse,blood,72,CellTiterBlue,2.75,Small
1037,ID_1114,Fe3O4,361.4,12.1,RAW 264.7,Yes,4.63118202093438e-12,100.04899,PEG to the PEI,mouse,blood,72,MTS,2.75,Small
1038,ID_1115,Fe3O4,361.4,12.1,RAW 264.7,Yes,1.8554415147974297e-11,75.59442,PEG to the PEI,mouse,blood,72,CellTiterBlue,2.75,Small
1039,ID_1116,Fe3O4,361.4,12.1,RAW 264.7,Yes,9.277207573987139e-12,86.60592,PEG to the PEI,mouse,blood,72,CellTiterBlue,2.75,Small
1040,ID_1118,Fe3O4,361.4,12.1,RAW 264.7,Yes,3.71088302959485e-11,108.333336,PEG to the PEI,mouse,blood,72,CellTiterBlue,2.75,Small
1041,ID_1119,Fe3O4,361.4,12.1,RAW 264.7,Yes,1.8554415147974297e-11,115.27696,PEG to the PEI,mouse,blood,72,CellTiterBlue,2.75,Small
1042,ID_1120,Fe3O4,326.5,-23.5,Monocytes,No,4.0260775876442e-10,79.795074,folic acid with intermediate organic (PEG) coating,human,blood,24,LDH,2.75,Small
1043,ID_1121,Fe3O4,361.4,12.1,RAW 264.7,Yes,9.277207573987139e-12,110.41544,PEG to the PEI,mouse,blood,72,CellTiterBlue,2.75,Small
1044,ID_1122,Fe3O4,361.4,12.1,RAW 264.7,Yes,4.63118202093438e-12,104.809265,PEG to the PEI,mouse,blood,72,CellTiterBlue,2.75,Small
1045,ID_1123,Fe3O4,361.4,12.1,RAW 264.7,Yes,7.42176605918971e-11,129.36508,PEG to the PEI,mouse,blood,72,MTS,2.75,Small
1046,ID_1124,Fe3O4,361.4,12.1,RAW 264.7,Yes,3.71088302959485e-11,100.39683,PEG to the PEI,mouse,blood,72,MTS,2.75,Small
1047,ID_1125,Fe3O4,361.4,12.1,RAW 264.7,Yes,1.8554415147974297e-11,85.119865,PEG to the PEI,mouse,blood,72,MTS,2.75,Small
1048,ID_1126,Fe3O4,361.4,12.1,RAW 264.7,Yes,1.8554415147974297e-11,82.954544,PEG to the PEI,mouse,blood,72,Live/Dead,2.75,Small
1049,ID_1127,Fe3O4,13.5,49.2572217301193,H4,Yes,0.002315326,98.65619,0,human,brain,48,Live/Dead,2.75,Small
1050,ID_1128,Fe3O4,326.5,-23.5,SKOV-3,Yes,4.0260775876442003e-11,90.683495,folic acid with intermediate organic (PEG) coating,human,ovary,24,MTT,2.75,Small
1051,ID_1129,Fe3O4,36.0,49.2572217301193,A549,Yes,7.50869049465478e-08,78.22526,0,human,lung,24,NR,2.75,Small
