Unnamed: 0,No.,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Concentration (g/L),Viability (%),Coat,Animal,Cell_organ,Time (h),Test,Electronegativity,dataset
32,ID_0032,Ag,28.41,-33.33,HeLa,Yes,2.13327250802639e-07,13.016949,0,human,cervix,24,MTT,1.93,Small
33,ID_0034,Ag,28.41,-33.33,HeLa,Yes,1.4221816720176e-07,4.4745765,0,human,cervix,48,MTT,1.93,Small
34,ID_0035,Ag,28.41,-33.33,HeLa,Yes,1.4221816720176e-07,16.271187,0,human,cervix,24,MTT,1.93,Small
35,ID_0036,Ag,28.41,-33.33,HeLa,Yes,1.13774533761408e-07,4.881356,0,human,cervix,72,MTT,1.93,Small
36,ID_0037,Ag,28.41,-33.33,HaCat,No,2.84436334403519e-07,5.9800663,0,human,skin,72,MTT,1.93,Small
37,ID_0038,Ag,28.41,-33.33,HaCat,No,1.13774533761408e-06,35.570034,0,human,skin,24,NR,1.93,Small
38,ID_0039,Ag,28.41,-33.33,HaCat,No,8.53309003210557e-07,8.372093,0,human,skin,24,MTT,1.93,Small
39,ID_0040,Ag,28.41,-33.33,HeLa,Yes,8.53309003210557e-08,5.2881355,0,human,cervix,72,MTT,1.93,Small
40,ID_0041,Ag,28.41,-33.33,HaCat,No,5.68872668807038e-07,24.16938,0,human,skin,48,NR,1.93,Small
41,ID_0042,Ag,28.41,-33.33,HaCat,No,8.53309003210557e-07,34.65798,0,human,skin,24,NR,1.93,Small
42,ID_0043,Ag,28.41,-33.33,HeLa,Yes,5.68872668807038e-08,7.322034,0,human,cervix,72,MTT,1.93,Small
43,ID_0044,Ag,28.41,-33.33,HeLa,Yes,5.68872668807038e-08,8.135593,0,human,cervix,48,MTT,1.93,Small
44,ID_0045,Ag,28.41,-33.33,HeLa,Yes,5.68872668807038e-08,61.42373,0,human,cervix,24,MTT,1.93,Small
45,ID_0046,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,6.915254,0,human,cervix,72,MTT,1.93,Small
46,ID_0047,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,101.28814,0,human,cervix,24,MTT,1.93,Small
47,ID_0048,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-07,3.661017,0,human,cervix,48,MTT,1.93,Small
48,ID_0049,Ag,28.41,-33.33,HaCat,No,7.11090836008798e-08,60.199337,0,human,skin,24,MTT,1.93,Small
49,ID_0050,Ag,28.41,-33.33,HaCat,No,3.55545418004399e-08,59.401993,0,human,skin,48,MTT,1.93,Small
50,ID_0051,Ag,28.41,-33.33,HeLa,Yes,5.68872668807038e-08,71.12583,0,human,cervix,24,NR,1.93,Small
51,ID_0052,Ag,28.41,-33.33,HaCat,No,5.68872668807038e-07,19.153095,0,human,skin,72,NR,1.93,Small
52,ID_0053,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,44.90066,0,human,cervix,72,NR,1.93,Small
53,ID_0054,Ag,28.41,-33.33,HeLa,Yes,2.84436334403519e-08,85.82781,0,human,cervix,24,NR,1.93,Small
54,ID_0055,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-06,22.801304,0,human,skin,72,NR,1.93,Small
55,ID_0056,Ag,28.41,-33.33,HaCat,No,1.4221816720176e-06,23.25733,0,human,skin,48,NR,1.93,Small
